0,SACATEPEQUEZ_ANTIGUA GUATEMALA_CONVENTO LAS CAPUCHINAS IGLESIA DE SAN FELIPE
1,SACATEPEQUEZ_ANTIGUA GUATEMALA_CONVENTO LAS CAPUCHINAS IGLESIA DE SAN FELIPE
2,FALSO
3,FALSO
4,FALSO
5,FALSO
6,FALSO
7,FALSO
8,FALSO
9,CHIQUMULA_ESQUIPULAS_BASILICAS
10,CHIQUMULA_ESQUIPULAS_BASILICAS
11,CHIQUMULA_ESQUIPULAS_BASILICAS
12,FALSO
13,FALSO
14,FALSO
15,FALSO
16,CHIQUMULA_ESQUIPULAS_BASILICA DE ESQUIPULAS
17,CHIQUMULA_ESQUIPULAS_BASILICA DE ESQUIPULAS
18,ESCUINTLA_ESCUINTLA_BANEARIO AGUA DE ZARZA
19,ESCUINTLA_ESCUINTLA_BANEARIO AGUA DE ZARZA
20,ESCUINTLA_SAN JOSE_NAUTILOS
21,ESCUINTLA_SAN JOSE_NAUTILOS
22,ESCUINTLA_SAN JOSE_NAUTILOS
23,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE
24,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE
25,GUATEMALA_VILLA NUEVA_VILLA NUEVA
26,GUATEMALA_VILLA NUEVA_VILLA NUEVA
27,GUATEMALA_SAN JOSE DEL GOLFO_SAN JOSE DEL GOLFO
28,GUATEMALA_SAN JOSE DEL GOLFO_SAN JOSE DEL GOLFO
29,GUATEMALA_SAN JOSE DEL GOLFO_SAN JOSE DEL GOLFO
30,SACATEPEQUEZ_ANTIGUA_CIUDAD VIEJA
31,SACATEPEQUEZ_ANTIGUA_CIUDAD VIEJA
32,FALSO
33,FALSO
34,FALSO
35,FALSO
36,FALSO
37,FALSO
38,RETALHULEU_SANTA CRUZ MULUA_PARQUE DE IRTRA XETULUL Y XOCOMIL
39,RETALHULEU_SANTA CRUZ MULUA_PARQUE DE IRTRA XETULUL Y XOCOMIL
40,RETALHULEU_SANTA CRUZ MULUA_PARQUE DE IRTRA XETULUL Y XOCOMIL
41,FALSO
42,FALSO
43,QUETZLATENANGO_QUETZALTENANGO_CABECERA DEPARTAMENTAL CENTRO CIUDAD
44,QUETZLATENANGO_QUETZALTENANGO_CABECERA DEPARTAMENTAL CENTRO CIUDAD
45,FALSO
46,FALSO
47,"SACATEPEQUEZ_ANTIUA GUATEMALA_CENTRO HISTORICO, IGLESIA"
48,"SACATEPEQUEZ_ANTIUA GUATEMALA_CENTRO HISTORICO, IGLESIA"
49,"SACATEPEQUEZ_ANTIUA GUATEMALA_CENTRO HISTORICO, IGLESIA"
50,SANTA ROSA_TAXISCO_MONTERRICO
51,SANTA ROSA_TAXISCO_MONTERRICO
52,SANTA ROSA_TAXISCO_MONTERRICO
53,SACATEPEQUEZ_ANTIGUA GUATEMAL_ACENTRO HISTORICO
54,SACATEPEQUEZ_ANTIGUA GUATEMAL_ACENTRO HISTORICO
55,FALSO
56,FALSO
57,FALSO
58,FALSO
59,FALSO
60,FALSO
61,FALSO
62,FALSO
63,FALSO
64,FALSO
65,FALSO
66,FALSO
67,CHIMALTENANGO_CHIMALTENANGO_FINCA DE UN FAMILIAR
68,CHIMALTENANGO_CHIMALTENANGO_FINCA DE UN FAMILIAR
69,FALSO
70,FALSO
71,FALSO
72,RETALHULEU_RETALHULEU_XETULUL
73,RETALHULEU_RETALHULEU_XETULUL
74,FALSO
75,FALSO
76,SACATEPEQUEZ_ANTIGUA GUATEMALA_ARCO
77,SACATEPEQUEZ_ANTIGUA GUATEMALA_ARCO
78,RETALHULEU_MULUA SANTA CRUZ_XOCOMIL
79,RETALHULEU_MULUA SANTA CRUZ_XOCOMIL
80,FALSO
81,FALSO
82,FALSO
83,GUATEMALA_GUATEMALA_LA IGLESIA CATOLICA CERRITO EL CARMEN
84,GUATEMALA_GUATEMALA_LA IGLESIA CATOLICA CERRITO EL CARMEN
85,SOLOLÁ_PANAJACHEL_LAGO
86,SOLOLÁ_PANAJACHEL_LAGO
87,FALSO
88,FALSO
89,FALSO
90,FALSO
91,FALSO
92,FALSO
93,FALSO
94,FALSO
95,FALSO
96,SACATEPEQUEZ_ANTIGUA GUATEMALA_ANTIGUA PASEO
97,SACATEPEQUEZ_ANTIGUA GUATEMALA_ANTIGUA PASEO
98,CHIMALTENANGO_TECPAN_HACIENDA TECPAN
99,CHIMALTENANGO_TECPAN_HACIENDA TECPAN
100,QUETZLATENANGO_QUETZALTENANGO_PLAZA CENTRAL
101,QUETZLATENANGO_QUETZALTENANGO_PLAZA CENTRAL
102,QUETZLATENANGO_QUETZALTENANGO_PLAZA CENTRAL
103,SACATEPEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO
